Name of Account, Dollar Value in Millions, Date (yymmdd)
"Justice Department programs",47,120725
"Labor Dept. prgms",109,120725
"Medicaid",475,120725
"Medicare",1667,120725
"NASA programs",90,120725
"Postal Service Money Orders and Other",104,120725
"Public Debt Cash Redemp.",772,120725
"Social Security Benefits",10915,120725
"Supple. Nutrition Assist. Program",4,120725
"Transportation Security Admin.",1,120725
"Unemployment Insurance Benefits",366,120725
"Veterans Affairs programs",164,120725
"IRS Tax Refunds Individual",256,120725
"Unclassified",746,120725
"Total, Other Withdrawals",1380,120725
"Transfers to Depositaries",0,120725
"Commodity Credit Corporation programs",9,120724
"Defense Vendor Payments",2672,120724
"Education Department programs",853,120724
"Energy Department programs",115,120724
"Federal Employees Insurance Payments",411,120724
"Fed. Highway Administration programs",186,120724
"Federal Salaries",442,120724
"Food and Nutrition Service",217,120724
"GSA programs",63,120724
"Health and Human Services Grants",296,120724
"Housing and Urban Development programs",143,120724
"Interest on Treasury Securities",2,120724
"Justice Department programs",64,120724
"Labor Dept. prgms",32,120724
"Medicaid",662,120724
"Medicare",1681,120724
"NASA programs",44,120724
"Postal Service Money Orders and Other",157,120724
"Public Debt Cash Redemp.",803,120724
"Social Security Benefits",33,120724
"Supple. Nutrition Assist. Program",8,120724
"Transportation Security Admin.",1,120724
"Unemployment Insurance Benefits",515,120724
"Veterans Affairs programs",106,120724
"IRS Tax Refunds Business",118,120724
"Unclassified",1083,120724
"Total, Other Withdrawals",1626,120724
"Transfers to Depositaries",0,120724
"Commodity Credit Corporation programs",19,120723
"Defense Vendor Payments",1562,120723
"Education Department programs",685,120723
"Energy Department programs",127,120723
"Federal Employees Insurance Payments",156,120723
"Fed. Highway Administration programs",138,120723
"Federal Salaries",1450,120723
"Food and Nutrition Service",508,120723
"GSA programs",57,120723
"Health and Human Services Grants",266,120723
"Housing and Urban Development programs",147,120723
"Interest on Treasury Securities",1,120723
"Justice Department programs",50,120723
"Labor Dept. prgms",27,120723
"Medicaid",363,120723
"Medicare",1851,120723
"NASA programs",538,120723
"Postal Service Money Orders and Other",254,120723
"Public Debt Cash Redemp.",815,120723
"Social Security Benefits",36,120723
"Supple. Nutrition Assist. Program",9,120723
"Transportation Security Admin.",42,120723
"Unemployment Insurance Benefits",260,120723
"Veterans Affairs programs",175,120723
"Treasury Department programs",72,120723
"Unclassified",1328,120723
"Total, Other Withdrawals",1750,120723
"Transfers to Depositaries",0,120723
"Commodity Credit Corporation programs",18,120720
"Defense Vendor Payments",2582,120720
"Education Department programs",540,120720
"Energy Department programs",165,120720
"Federal Employees Insurance Payments",209,120720
"Fed. Highway Administration programs",154,120720
"Federal Salaries",3101,120720
"Food and Nutrition Service",213,120720
"GSA programs",38,120720
"Health and Human Services Grants",303,120720
"Housing and Urban Development programs",155,120720
"Interest on Treasury Securities",1,120720
"Justice Department programs",53,120720
"Labor Dept. prgms",54,120720
"Medicaid",627,120720
"Medicare",1481,120720
"NASA programs",65,120720
"Postal Service Money Orders and Other",124,120720
"Public Debt Cash Redemp.",1022,120720
"Social Security Benefits",34,120720
"Supple. Nutrition Assist. Program",6,120720
"Transportation Security Admin.",1,120720
"Unemployment Insurance Benefits",147,120720
"Veterans Affairs programs",123,120720
"Emergency Prep &",54,120720
"Treasury Department programs",82,120720
"Unclassified",819,120720
"Total, Other Withdrawals",1151,120720
"Transfers to Depositaries",0,120720
"Commodity Credit Corporation programs",60,120719
"Defense Vendor Payments",1858,120719
"Education Department programs",393,120719
"Energy Department programs",117,120719
"Federal Employees Insurance Payments",327,120719
"Fed. Highway Administration programs",235,120719
"Federal Salaries",112,120719
"Food and Nutrition Service",238,120719
"GSA programs",112,120719
"Health and Human Services Grants",316,120719
"Housing and Urban Development programs",202,120719
"Interest on Treasury Securities",1,120719
"Justice Department programs",60,120719
"Labor Dept. prgms",52,120719
"Medicaid",1696,120719
"Medicare",931,120719
"NASA programs",99,120719
"Postal Service Money Orders and Other",100,120719
"Public Debt Cash Redemp.",90611,120719
"Social Security Benefits",37,120719
"Supple. Nutrition Assist. Program",12,120719
"Transportation Security Admin.",1,120719
"Unemployment Insurance Benefits",231,120719
"Veterans Affairs programs",115,120719
"Unclassified",1233,120719
"Total, Other Withdrawals",1898,120719
"Transfers to Depositaries",0,120719
"Commodity Credit Corporation programs",21,120718
"Defense Vendor Payments",1396,120718
"Education Department programs",511,120718
"Energy Department programs",90,120718
"Federal Employees Insurance Payments",38,120718
"Fed. Highway Administration programs",110,120718
"Federal Salaries",92,120718
"Food and Nutrition Service",300,120718
"GSA programs",98,120718
"Health and Human Services Grants",325,120718
"Housing and Urban Development programs",168,120718
"Interest on Treasury Securities",1,120718
"Justice Department programs",71,120718
"Labor Dept. prgms",127,120718
"Medicaid",726,120718
"Medicare",1380,120718
"NASA programs",51,120718
"Postal Service Money Orders and Other",93,120718
"Public Debt Cash Redemp.",773,120718
"Social Security Benefits",10693,120718
"Supple. Nutrition Assist. Program",11,120718
"Transportation Security Admin.",37,120718
"Unemployment Insurance Benefits",386,120718
"Veterans Affairs programs",121,120718
"IRS Tax Refunds Individual",286,120718
"Unclassified",1069,120718
"Total, Other Withdrawals",1416,120718
"Transfers to Depositaries",0,120718
"Commodity Credit Corporation programs",13,120717
"Defense Vendor Payments",2743,120717
"Education Department programs",355,120717
"Energy Department programs",70,120717
"Federal Employees Insurance Payments",247,120717
"Fed. Highway Administration programs",203,120717
"Federal Salaries",87,120717
"Food and Nutrition Service",323,120717
"GSA programs",66,120717
"Health and Human Services Grants",414,120717
"Housing and Urban Development programs",145,120717
"Interest on Treasury Securities",1,120717
"Justice Department programs",97,120717
"Labor Dept. prgms",41,120717
"Medicaid",758,120717
"Medicare",1124,120717
"NASA programs",74,120717
"Postal Service Money Orders and Other",115,120717
"Public Debt Cash Redemp.",779,120717
"Social Security Benefits",36,120717
"Supple. Nutrition Assist. Program",7,120717
"Transportation Security Admin.",11,120717
"Unemployment Insurance Benefits",518,120717
"Veterans Affairs programs",119,120717
"Federal Financing Bank",69,120717
"IRS Tax Refunds Business",214,120717
"Treasury Department programs",1,120717
"Unclassified",1035,120717
"Total, Other Withdrawals",1383,120717
"Transfers to Depositaries",0,120717
"Commodity Credit Corporation programs",14,120716
"Defense Vendor Payments",1501,120716
"Education Department programs",532,120716
"Energy Department programs",136,120716
"Federal Employees Insurance Payments",256,120716
"Fed. Highway Administration programs",78,120716
"Federal Salaries",55,120716
"Food and Nutrition Service",923,120716
"GSA programs",42,120716
"Health and Human Services Grants",246,120716
"Housing and Urban Development programs",148,120716
"Interest on Treasury Securities",5921,120716
"Justice Department programs",96,120716
"Labor Dept. prgms",35,120716
"Medicaid",1041,120716
"Medicare",1417,120716
"NASA programs",65,120716
"Postal Service Money Orders and Other",158,120716
"Public Debt Cash Redemp.",67368,120716
"Social Security Benefits",38,120716
"Supple. Nutrition Assist. Program",11,120716
"Transportation Security Admin.",1,120716
"Unemployment Insurance Benefits",263,120716
"Veterans Affairs programs",218,120716
"IRS Tax Refunds Business",189,120716
"Unclassified",1172,120716
"Total, Other Withdrawals",2188,120716
"Transfers to Depositaries",0,120716
"Commodity Credit Corporation programs",24,120713
"Defense Vendor Payments",1455,120713
"Education Department programs",1674,120713
"Energy Department programs",298,120713
"Federal Employees Insurance Payments",158,120713
"Fed. Highway Administration programs",156,120713
"Federal Salaries",188,120713
"Food and Nutrition Service",356,120713
"GSA programs",29,120713
"Health and Human Services Grants",409,120713
"Housing and Urban Development programs",246,120713
"Interest on Treasury Securities",1,120713
"Justice Department programs",57,120713
"Labor Dept. prgms",41,120713
"Medicaid",964,120713
"Medicare",1156,120713
"NASA programs",26,120713
"Postal Service Money Orders and Other",115,120713
"Public Debt Cash Redemp.",809,120713
"Social Security Benefits",32,120713
"Supple. Nutrition Assist. Program",12,120713
"Transportation Security Admin.",1,120713
"Unemployment Insurance Benefits",146,120713
"Veterans Affairs programs",113,120713
"Emergency Prep &",136,120713
"Military Active Duty Pay",2853,120713
"Treasury Department programs",218,120713
"Unclassified",952,120713
"Total, Other Withdrawals",4381,120713
"Transfers to Depositaries",0,120713
"Commodity Credit Corporation programs",19,120712
"Defense Vendor Payments",1038,120712
"Education Department programs",1182,120712
"Energy Department programs",198,120712
"Federal Employees Insurance Payments",351,120712
"Fed. Highway Administration programs",160,120712
"Federal Salaries",873,120712
"Food and Nutrition Service",399,120712
"GSA programs",98,120712
"Health and Human Services Grants",347,120712
"Housing and Urban Development programs",148,120712
"Interest on Treasury Securities",1,120712
"Justice Department programs",46,120712
"Labor Dept. prgms",54,120712
"Medicaid",1164,120712
"Medicare",1221,120712
"NASA programs",28,120712
"Postal Service Money Orders and Other",118,120712
"Public Debt Cash Redemp.",95468,120712
"Social Security Benefits",41,120712
"Supple. Nutrition Assist. Program",42,120712
"Transportation Security Admin.",1,120712
"Unemployment Insurance Benefits",248,120712
"Veterans Affairs programs",124,120712
"Unclassified",884,120712
"Total, Other Withdrawals",1244,120712
"Transfers to Depositaries",0,120712
"Commodity Credit Corporation programs",18,120711
"Defense Vendor Payments",939,120711
"Education Department programs",651,120711
"Energy Department programs",126,120711
"Federal Employees Insurance Payments",421,120711
"Fed. Highway Administration programs",94,120711
"Federal Salaries",83,120711
"Food and Nutrition Service",371,120711
"GSA programs",64,120711
"Health and Human Services Grants",279,120711
"Housing and Urban Development programs",160,120711
"Interest on Treasury Securities",1,120711
"Justice Department programs",42,120711
"Labor Dept. prgms",34,120711
"Medicaid",862,120711
"Medicare",1572,120711
"NASA programs",69,120711
"Postal Service Money Orders and Other",118,120711
"Public Debt Cash Redemp.",825,120711
"Social Security Benefits",10874,120711
"Supple. Nutrition Assist. Program",11,120711
"Transportation Security Admin.",1,120711
"Unemployment Insurance Benefits",407,120711
"Veterans Affairs programs",155,120711
"IRS Tax Refunds Business",66,120711
"IRS Tax Refunds Individual",287,120711
"Treasury Department programs",132,120711
"Unclassified",842,120711
"Total, Other Withdrawals",2871,120711
"Transfers to Depositaries",0,120711
"Commodity Credit Corporation programs",7,120710
"Defense Vendor Payments",1410,120710
"Education Department programs",708,120710
"Energy Department programs",102,120710
"Federal Employees Insurance Payments",391,120710
"Fed. Highway Administration programs",152,120710
"Federal Salaries",448,120710
"Food and Nutrition Service",443,120710
"GSA programs",57,120710
"Health and Human Services Grants",367,120710
"Housing and Urban Development programs",123,120710
"Interest on Treasury Securities",2,120710
"Justice Department programs",63,120710
"Labor Dept. prgms",38,120710
"Medicaid",1313,120710
"Medicare",1375,120710
"NASA programs",44,120710
"Postal Service Money Orders and Other",209,120710
"Public Debt Cash Redemp.",799,120710
"Social Security Benefits",30,120710
